"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2021,8,10,"Sant Martí",72,"Sant Martí de Provençals",16375,"7.9"
2021,8,10,"Sant Martí",73,"la Verneda i la Pau",17667,"8.3"
2021,9,1,"Ciutat Vella",1,"el Raval",36762,"8.7"
2021,9,1,"Ciutat Vella",2,"el Barri Gòtic",19040,"4.4"
2021,9,1,"Ciutat Vella",3,"la Barceloneta",11430,"7.8"
2021,9,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17782,"6.9"
2021,9,2,"Eixample",5,"el Fort Pienc",22723,"4.8"
2021,9,2,"Eixample",6,"la Sagrada Família",35048,"5.2"
2021,9,2,"Eixample",7,"la Dreta de l'Eixample",29680,"4.2"
2021,9,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29603,"4.3"
2021,9,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38135,"5.1"
2021,9,2,"Eixample",10,"Sant Antoni",26119,"5.4"
2021,9,3,"Sants-Montjuïc",11,"el Poble Sec",28970,"6.8"
2021,9,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",939,"11.6"
2021,9,3,"Sants-Montjuïc",13,"la Marina de Port",20593,"8.1"
2021,9,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6792,"7.3"
2021,9,3,"Sants-Montjuïc",15,"Hostafrancs",11123,"5.9"
2021,9,3,"Sants-Montjuïc",16,"la Bordeta",12663,"6.1"
2021,9,3,"Sants-Montjuïc",17,"Sants - Badal",16520,"5.0"
2021,9,3,"Sants-Montjuïc",18,"Sants",29724,"5.3"
2021,9,4,"Les Corts",19,"les Corts",27804,"5.6"
2021,9,4,"Les Corts",20,"la Maternitat i Sant Ramon",14388,"5.6"
2021,9,4,"Les Corts",21,"Pedralbes",6940,"3.0"
2021,9,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3145,"3.0"
2021,9,5,"Sarrià-Sant Gervasi",23,"Sarrià",14867,"3.1"
2021,9,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9892,"3.7"
2021,9,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15912,"3.4"
2021,9,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29730,"3.3"
2021,9,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19256,"4.5"
2021,9,6,"Gràcia",28,"Vallcarca i els Penitents",10354,"5.5"
2021,9,6,"Gràcia",29,"el Coll",5100,"4.6"
2021,9,6,"Gràcia",30,"la Salut",8343,"5.9"
2021,9,6,"Gràcia",31,"la Vila de Gràcia",35004,"5.2"
2021,9,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22798,"5.3"
2021,9,7,"Horta-Guinardó",33,"el Baix Guinardó",16514,"5.7"
2021,9,7,"Horta-Guinardó",34,"Can Baró",6126,"5.7"
